               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.015127,           0.0071926,           0.0010765,             0.96861,              0.8125,             0.82315,             0.60286,            0.030381,            0.015712,           0.0018594,           0.0023275,           0.0023275,           0.0023275
                 157,             0.01549,           0.0076278,          0.00097871,             0.96982,              0.8125,             0.82456,             0.65029,            0.028469,            0.015578,           0.0018134,            0.002278,            0.002278,            0.002278
                 158,            0.014996,           0.0074245,            0.001371,             0.97198,              0.8125,             0.82441,             0.65468,            0.029287,            0.015431,           0.0017832,           0.0022285,           0.0022285,           0.0022285
                 159,            0.014609,           0.0072824,          0.00084035,             0.97072,              0.8125,             0.82611,             0.66269,            0.028644,            0.015401,           0.0017376,            0.002179,            0.002179,            0.002179
                 160,            0.014488,           0.0076344,          0.00092089,             0.97306,              0.8125,             0.82475,             0.62948,            0.029904,            0.015532,           0.0017564,           0.0021295,           0.0021295,           0.0021295
                 161,            0.014415,           0.0070113,          0.00099537,             0.97485,              0.8125,             0.82441,             0.65831,            0.028739,             0.01548,           0.0017326,             0.00208,             0.00208,             0.00208
                 162,            0.014634,             0.00734,          0.00089972,             0.97534,              0.8125,             0.82289,             0.62844,            0.030522,            0.015411,           0.0017107,           0.0020305,           0.0020305,           0.0020305
                 163,            0.014796,           0.0082033,           0.0009491,             0.97513,              0.8125,             0.82247,             0.60069,            0.029584,            0.015462,            0.001734,            0.001981,            0.001981,            0.001981
                 164,            0.014215,           0.0068854,           0.0011312,             0.97515,              0.8125,             0.81433,             0.62914,            0.030037,            0.015438,           0.0017618,           0.0019315,           0.0019315,           0.0019315
                 165,            0.014348,           0.0070407,           0.0008541,             0.97519,              0.8125,              0.8296,             0.64833,            0.028336,            0.015445,           0.0017596,            0.001882,            0.001882,            0.001882
                 166,            0.014234,           0.0074386,          0.00083383,             0.97655,              0.8125,              0.8296,             0.65709,            0.029251,            0.015725,           0.0017872,           0.0018325,           0.0018325,           0.0018325
                 167,            0.014618,           0.0075041,          0.00096229,             0.97618,              0.8125,             0.82807,             0.66567,            0.028365,            0.015802,           0.0016878,            0.001783,            0.001783,            0.001783
                 168,            0.014595,           0.0074737,           0.0010718,             0.97668,              0.8125,             0.82649,             0.66466,            0.028643,            0.015756,           0.0015581,           0.0017335,           0.0017335,           0.0017335
                 169,            0.013529,           0.0074317,          0.00076497,             0.97703,              0.8125,             0.82487,             0.65503,            0.029644,            0.015842,           0.0014866,            0.001684,            0.001684,            0.001684
                 170,             0.01341,           0.0073323,          0.00081404,             0.97663,              0.8125,             0.82649,              0.6343,            0.029233,            0.015759,           0.0014709,           0.0016345,           0.0016345,           0.0016345
                 171,             0.01373,           0.0079652,          0.00081176,             0.97657,              0.8125,             0.82719,             0.67604,            0.027578,            0.015608,           0.0014473,            0.001585,            0.001585,            0.001585
                 172,            0.013656,           0.0071117,           0.0010677,             0.97682,              0.8125,             0.82736,             0.65616,            0.027751,            0.015567,           0.0014179,           0.0015355,           0.0015355,           0.0015355
                 173,            0.013369,           0.0069691,          0.00078557,             0.97612,              0.8125,             0.82719,             0.65695,            0.028646,            0.015946,           0.0013884,            0.001486,            0.001486,            0.001486
                 174,            0.013386,           0.0078068,          0.00074746,             0.97556,              0.8125,             0.82674,             0.65659,            0.028562,            0.015964,           0.0013646,           0.0014365,           0.0014365,           0.0014365
                 175,            0.013073,           0.0077305,          0.00086093,             0.97532,              0.8125,             0.82703,             0.66007,             0.02863,            0.016244,           0.0013609,            0.001387,            0.001387,            0.001387
                 176,            0.012817,           0.0072049,          0.00091586,             0.97518,              0.8125,             0.82942,             0.67228,             0.02759,            0.016009,           0.0013391,           0.0013375,           0.0013375,           0.0013375
                 177,            0.013287,           0.0074563,          0.00078229,             0.97501,              0.8125,             0.82979,             0.66922,            0.028317,            0.015876,           0.0013317,            0.001288,            0.001288,            0.001288
                 178,            0.013044,           0.0080544,          0.00077292,             0.97517,              0.8125,              0.8296,             0.66867,            0.028307,            0.015678,           0.0013297,           0.0012385,           0.0012385,           0.0012385
                 179,            0.012594,           0.0067586,          0.00067516,             0.97462,              0.8125,             0.83097,              0.6695,            0.027741,            0.015439,            0.001324,            0.001189,            0.001189,            0.001189
                 180,            0.012946,           0.0074134,          0.00075186,              0.9744,              0.8125,             0.83137,             0.64642,            0.028814,            0.015513,           0.0013298,           0.0011395,           0.0011395,           0.0011395
                 181,            0.013071,           0.0078737,          0.00098322,             0.97387,              0.8125,             0.83161,             0.66832,            0.027904,            0.015302,           0.0013549,             0.00109,             0.00109,             0.00109
                 182,            0.012576,           0.0071706,          0.00083925,               0.973,              0.8125,              0.8154,             0.64331,            0.027946,            0.015305,           0.0013467,           0.0010405,           0.0010405,           0.0010405
                 183,            0.012003,           0.0060615,          0.00064112,             0.97209,              0.8125,             0.81483,             0.65103,            0.027408,            0.015374,           0.0013404,            0.000991,            0.000991,            0.000991
                 184,            0.012344,           0.0068596,           0.0008557,             0.97224,              0.8125,             0.82384,             0.67215,            0.026498,            0.015389,           0.0013382,           0.0009415,           0.0009415,           0.0009415
                 185,            0.012373,           0.0067775,          0.00059446,             0.97259,              0.8125,             0.82406,             0.66108,            0.027909,            0.015629,           0.0013121,            0.000892,            0.000892,            0.000892
                 186,             0.01272,            0.007092,          0.00094185,             0.97285,              0.8125,              0.8239,             0.64619,            0.027558,            0.015594,           0.0012557,           0.0008425,           0.0008425,           0.0008425
                 187,            0.013247,           0.0072628,          0.00073807,             0.97325,              0.8125,             0.82375,              0.6653,            0.027531,            0.015752,           0.0012578,            0.000793,            0.000793,            0.000793
                 188,            0.011629,           0.0062473,          0.00065794,              0.9744,              0.8125,             0.81492,               0.667,            0.027398,            0.015745,            0.001253,           0.0007435,           0.0007435,           0.0007435
                 189,            0.011711,           0.0066789,          0.00067821,             0.97502,              0.8125,             0.82926,             0.66341,            0.027861,            0.015874,           0.0012841,            0.000694,            0.000694,            0.000694
                 190,            0.011848,           0.0072726,          0.00065901,             0.97546,              0.8125,             0.82926,             0.65665,            0.027049,            0.015797,           0.0012774,           0.0006445,           0.0006445,           0.0006445
                 191,             0.01172,            0.006462,           0.0010957,             0.97598,              0.8125,             0.82979,             0.66752,            0.027371,            0.015857,           0.0012105,            0.000595,            0.000595,            0.000595
                 192,            0.011707,           0.0064217,          0.00078038,             0.97602,              0.8125,             0.82942,              0.6819,             0.02687,              0.0157,           0.0011556,           0.0005455,           0.0005455,           0.0005455
                 193,            0.011967,           0.0073634,          0.00055564,             0.97572,              0.8125,             0.82926,             0.67567,            0.027433,            0.015804,           0.0011378,            0.000496,            0.000496,            0.000496
                 194,             0.01208,           0.0073653,          0.00065442,              0.9755,              0.8125,             0.81444,             0.66632,            0.027527,            0.015702,           0.0011204,           0.0004465,           0.0004465,           0.0004465
                 195,            0.011938,             0.00681,          0.00056942,             0.97552,              0.8125,              0.8146,             0.67297,            0.027293,            0.015719,           0.0010904,            0.000397,            0.000397,            0.000397
                 196,            0.011842,           0.0064816,          0.00081308,             0.97543,              0.8125,             0.82926,             0.65892,            0.027274,            0.015687,            0.001086,           0.0003475,           0.0003475,           0.0003475
                 197,            0.011594,           0.0069635,          0.00060877,             0.97535,              0.8125,             0.82942,             0.65246,             0.02793,            0.015717,           0.0010841,            0.000298,            0.000298,            0.000298
                 198,            0.011171,           0.0069843,          0.00078286,             0.97534,              0.8125,             0.82926,             0.65241,            0.027805,            0.015666,           0.0010715,           0.0002485,           0.0002485,           0.0002485
                 199,            0.011673,           0.0064397,          0.00052438,             0.97532,              0.8125,             0.81429,             0.66608,            0.027324,            0.015521,           0.0010649,            0.000199,            0.000199,            0.000199
